"zcta5","state","cd114","stab","zipname","pop10","afact"
"ZIP Census Tabulation Area","FIPS state","cd114","State Postal Code","zipname","Total Pop, 2010 census","zcta5 to cd114 alloc factor"
"22473","51","01","VA","Heathsville, VA",5099,1 
"22476","51","01","VA","Hustle, VA",369,1 
"22480","51","01","VA","Irvington, VA",714,1 
"22482","51","01","VA","Kilmarnock, VA",2993,1 
"22485","51","01","VA","King George, VA",23004,1 
"22488","51","01","VA","Kinsale, VA",1398,1 
"22503","51","01","VA","Lancaster, VA",4334,1 
"22504","51","01","VA","Laneview, VA",263,1 
"22508","51","07","VA","Lake of the Woods, VA",12696,1 
"22509","51","01","VA","Loretto, VA",31,1 
"22511","51","01","VA","Lottsburg, VA",1240,1 
"22514","51","01","VA","Milford, VA",2603,1 
"22520","51","01","VA","Montross, VA",5402,1 
"22529","51","01","VA","Oldhams, VA (PO Boxes)",335,1 
"22530","51","01","VA","Ophelia, VA (PO Boxes)",126,1 
"22534","51","07","VA","Partlow, VA",2796,1 
"22535","51","01","VA","Port Royal, VA",580,1 
"22538","51","01","VA","Rappahannock Academy, VA",307,1 
"22539","51","01","VA","Reedville, VA",2063,1 
"22542","51","07","VA","Rhoadesville, VA",1950,1 
"22546","51","01","VA","Ruther Glen, VA",15352,0.969 
"22546","51","07","VA","Ruther Glen, VA",498,0.031 
"22548","51","01","VA","Sharps, VA (PO Boxes)",73,1 
"22551","51","07","VA","Spotsylvania, VA",19242,1 
"22553","51","07","VA","Spotsylvania, VA",13935,1 
"22554","51","01","VA","Stafford, VA",51463,1 
"22556","51","01","VA","Stafford, VA",25675,1 
"22560","51","01","VA","Tappahannock, VA",6704,1 
"22567","51","07","VA","Unionville, VA",3163,1 
"22572","51","01","VA","Warsaw, VA",7470,1 
"22576","51","01","VA","Weems, VA",1785,1 
"22578","51","01","VA","White Stone, VA",2510,1 
"22579","51","01","VA","Wicomico Church, VA (PO Boxes)",155,1 
"22580","51","01","VA","Woodford, VA",4715,0.914 
"22580","51","07","VA","Woodford, VA",445,0.086 
"22601","51","10","VA","Winchester, VA",27813,1 
"22602","51","10","VA","Winchester, VA",28443,1 
"22603","51","10","VA","Winchester, VA",13910,1 
"22610","51","06","VA","Bentonville, VA",1842,1 
"22611","51","10","VA","Berryville, VA",8757,1 
"22620","51","10","VA","Boyce, VA",2348,1 
"22623","51","05","VA","Chester Gap, VA",670,1 
"22624","51","10","VA","Clear Brook, VA",2565,1 
"22625","51","10","VA","Lake Holiday, VA",3641,1 
"22627","51","05","VA","Flint Hill, VA",637,1 
"22630","51","05","VA","Front Royal, VA",12,0 
"22630","51","06","VA","Front Royal, VA",29801,0.984 
"22630","51","10","VA","Front Royal, VA",479,0.016 
"22637","51","10","VA","Gore, VA",1970,1 
"22639","51","05","VA","Hume, VA",560,1 
"22640","51","05","VA","Huntly, VA",532,1 
"22641","51","06","VA","Strasburg, VA",361,1 
"22642","51","05","VA","Linden, VA",704,0.159 
"22642","51","06","VA","Linden, VA",3710,0.841 
"22643","51","05","VA","Markham, VA",197,1 
"22644","51","06","VA","Maurertown, VA",2177,1 
"22645","51","06","VA","Middletown, VA",1163,0.3 
"22645","51","10","VA","Middletown, VA",2717,0.7 
"22646","51","10","VA","Millwood, VA (PO Boxes)",205,1 
"22650","51","06","VA","Rileyville, VA",978,1 
"22652","51","06","VA","Fort Valley, VA",1399,1 
"22654","51","06","VA","Star Tannery, VA",117,0.183 
"22654","51","10","VA","Star Tannery, VA",523,0.817 
"22655","51","06","VA","Stephens City, VA",86,0.004 
"22655","51","10","VA","Stephens City, VA",19242,0.996 
"22656","51","10","VA","Stephenson, VA",2381,1 
"22657","51","06","VA","Strasburg, VA",10956,1 
"22660","51","06","VA","Toms Brook, VA",1689,1 
"22663","51","10","VA","White Post, VA",1536,1 
"22664","51","06","VA","Woodstock, VA",8753,1 
"22701","51","05","VA","Culpeper, VA",579,0.018 
"22701","51","07","VA","Culpeper, VA",30865,0.982 
"22709","51","05","VA","Aroda, VA",874,1 
"22711","51","05","VA","Banco, VA",92,1 
"22712","51","01","VA","Bealeton, VA",7044,0.837 
"22712","51","05","VA","Bealeton, VA",1371,0.163 
"22713","51","05","VA","Boston, VA",306,0.218 
"22713","51","07","VA","Boston, VA",1100,0.782 
"22714","51","07","VA","Brandy Station, VA",1129,1 
"22715","51","05","VA","Brightwood, VA",1082,1 
"22716","51","05","VA","Castleton, VA",853,1 
"22718","51","07","VA","Elkwood, VA",534,1 
"22719","51","05","VA","Etlan, VA",395,1 
"22720","51","01","VA","Goldvein, VA",1059,1 
"22722","51","05","VA","Haywood, VA",273,1 
"22723","51","05","VA","Hood, VA (PO Boxes)",128,1 
"22724","51","07","VA","Jeffersonton, VA",2282,1 
"22726","51","07","VA","Lignum, VA",776,1 
"22727","51","05","VA","Madison, VA",5547,1 
"22728","51","01","VA","Midland, VA",1656,0.5 
"22728","51","05","VA","Midland, VA",1654,0.5 
"22729","51","07","VA","Mitchells, VA",1338,1 
"22730","51","05","VA","Oakpark, VA",115,1 
"22731","51","05","VA","Pratts, VA",139,1 
"22732","51","05","VA","Radiant, VA",191,1 
"22733","51","05","VA","Rapidan, VA",54,0.037 
"22733","51","07","VA","Rapidan, VA",1415,0.963 
"22734","51","01","VA","Remington, VA",259,0.081 
"22734","51","05","VA","Remington, VA",2758,0.865 
"22734","51","07","VA","Remington, VA",170,0.053 
"22735","51","05","VA","Reva, VA",920,0.404 
"22735","51","07","VA","Reva, VA",1357,0.596 
"22736","51","07","VA","Richardsville, VA",732,1 
"22737","51","07","VA","Rixeyville, VA",2936,1 
"22738","51","05","VA","Rochelle, VA",1149,1 
"22740","51","05","VA","Sperryville, VA",1258,0.958 
"22740","51","07","VA","Sperryville, VA",55,0.042 
"22741","51","07","VA","Stevensburg, VA",182,1 
"22742","51","01","VA","Sumerduck, VA",1926,1 
"22743","51","05","VA","Syria, VA",204,1 
"22747","51","05","VA","Washington, VA",1132,1 
"22749","51","05","VA","Woodville, VA",349,1 
"22801","51","06","VA","Harrisonburg, VA",37989,1 
"22802","51","06","VA","Harrisonburg, VA",26293,1 
"22807","51","06","VA","Harrisonburg, VA",3311,1 
"22810","51","06","VA","Basye, VA",863,1 
"22811","51","06","VA","Bergton, VA",500,1 
"22812","51","06","VA","Bridgewater, VA",8927,1 
"22815","51","06","VA","Broadway, VA",8355,1 
"22820","51","06","VA","Criders, VA",214,1 
"22821","51","06","VA","Dayton, VA",5753,1 
"22824","51","06","VA","Edinburg, VA",6018,1 
"22827","51","06","VA","Elkton, VA",10388,1 
"22830","51","06","VA","Fulks Run, VA",1773,1 
"22831","51","06","VA","Hinton, VA",813,1 
"22832","51","06","VA","Keezletown, VA",1091,1 
"22834","51","06","VA","Linville, VA",1250,1 
"22835","51","06","VA","Luray, VA",11634,1 
"22840","51","06","VA","Massanutten, VA",4354,1 
"22841","51","06","VA","Mount Crawford, VA",2791,1 
"22842","51","06","VA","Mount Jackson, VA",5063,1 
"22843","51","06","VA","Mount Solon, VA",2458,1 
"22844","51","06","VA","New Market, VA",4528,1 
"22845","51","06","VA","Orkney Springs, VA",33,1 
"22846","51","06","VA","Penn Laird, VA",1855,1 
"22847","51","06","VA","Quicksburg, VA",1066,1 
"22849","51","06","VA","Shenandoah, VA",5044,1 
"22850","51","06","VA","Singers Glen, VA",899,1 
"22851","51","06","VA","Stanley, VA",5956,1 
"22853","51","06","VA","Timberville, VA",4367,1 
"22901","51","05","VA","Charlottesville, VA",32532,1 
"22902","51","05","VA","Charlottesville, VA",21223,1 
"22903","51","05","VA","Charlottesville, VA",38229,1 
"22904","51","05","VA","University of Virginia, VA",4633,1 
"22911","51","05","VA","Hollymead, VA",15971,1 
"22920","51","05","VA","Afton, VA",4145,0.99 
"22920","51","06","VA","Afton, VA",41,0.01 
"22922","51","05","VA","Arrington, VA",1911,0.959 
"22922","51","06","VA","Arrington, VA",82,0.041 
"22923","51","05","VA","Barboursville, VA",3466,0.688 
"22923","51","07","VA","Barboursville, VA",1569,0.312 
"22931","51","05","VA","Covesville, VA",382,1 
"22932","51","05","VA","Crozet, VA",7488,1 
"22935","51","05","VA","Dyke, VA",926,1 
"22936","51","05","VA","Earlysville, VA",4853,1 
"22937","51","05","VA","Esmont, VA",1486,1 
"22938","51","05","VA","Faber, VA",1444,1 
"22939","51","06","VA","Fishersville, VA",5398,1 
"22940","51","05","VA","Free Union, VA",1119,1 
"22942","51","05","VA","Gordonsville, VA",471,0.058 
"22942","51","07","VA","Gordonsville, VA",7642,0.942 
"22943","51","05","VA","Greenwood, VA",444,1 
"22946","51","05","VA","Keene, VA",244,1 
"22947","51","05","VA","Keswick, VA",4009,0.955 
"22947","51","07","VA","Keswick, VA",189,0.045 
"22948","51","05","VA","Locust Dale, VA",305,1 
"22949","51","05","VA","Lovingston, VA",1300,1 
"22952","51","06","VA","Lyndhurst, VA",2029,1 
"22958","51","05","VA","Nellysford, VA",1618,0.988 
"22958","51","06","VA","Nellysford, VA",19,0.012 
"22959","51","05","VA","North Garden, VA",1578,1 
"22960","51","05","VA","Orange, VA",1014,0.095 
"22960","51","07","VA","Orange, VA",9708,0.905 
"22963","51","05","VA","Lake Monticello, VA",15401,1 
"22964","51","05","VA","Piney River, VA",261,1 
"22967","51","05","VA","Roseland, VA",1695,0.867 
"22967","51","06","VA","Roseland, VA",261,0.133 
"22968","51","05","VA","Ruckersville, VA",9815,1 
"22969","51","05","VA","Schuyler, VA",1437,1 
"22971","51","05","VA","Shipman, VA",1735,1 
"22972","51","07","VA","Somerset, VA",439,1 
"22973","51","05","VA","Stanardsville, VA",6191,1 
"22974","51","05","VA","Troy, VA",4414,0.82 
"22974","51","07","VA","Troy, VA",971,0.18 
"22976","51","05","VA","Tyro, VA",339,1 
"22980","51","06","VA","Waynesboro, VA",31451,1 
"22989","51","05","VA","Woodberry Forest, VA",112,1 
"23002","51","04","VA","Amelia Court House, VA",10439,1 
"23004","51","05","VA","Arvonia, VA",851,1 
"23005","51","07","VA","Ashland, VA",15227,1 
"23009","51","01","VA","Aylett, VA",6279,1 
"23011","51","07","VA","Barhamsville, VA",1429,1 
"23015","51","01","VA","Beaverdam, VA",408,0.096 
"23015","51","07","VA","Beaverdam, VA",3841,0.904 
"23021","51","01","VA","Bohannon, VA",345,1 
"23022","51","05","VA","Bremo Bluff, VA",930,1 
"23023","51","01","VA","Bruington, VA",323,1 
"23024","51","07","VA","Bumpass, VA",8120,1 
"23025","51","01","VA","Cardinal, VA",233,1 
"23027","51","05","VA","Cartersville, VA",1413,1 
"23030","51","03","VA","Charles City, VA",5128,1 
"23032","51","01","VA","Church View, VA",283,1 
"23035","51","01","VA","Cobbs Creek, VA",1473,1 
"23038","51","05","VA","Columbia, VA",911,0.513 
"23038","51","07","VA","Columbia, VA",864,0.487 
"23039","51","07","VA","Crozier, VA",1056,1 
"23040","51","05","VA","Cumberland, VA",4661,1 
"23043","51","01","VA","Deltaville, VA",1692,1 
"23045","51","01","VA","Diggs, VA",96,1 
"23047","51","01","VA","Doswell, VA",339,0.174 
"23047","51","07","VA","Doswell, VA",1613,0.826 
"23050","51","01","VA","Dutton, VA",598,1 
"23055","51","05","VA","Fork Union, VA",915,1 
"23056","51","01","VA","Foster, VA",458,1 
"23059","51","07","VA","Glen Allen, VA",31919,1 
"23060","51","07","VA","Glen Allen, VA",33417,1 
"23061","51","01","VA","Gloucester, VA",21208,1 
"23062","51","01","VA","Gloucester Point, VA",2340,1 
"23063","51","07","VA","Goochland, VA",5278,1 
"23064","51","01","VA","Gwynn, VA",131,1 
"23065","51","07","VA","Gum Spring, VA",1909,1 
"23066","51","01","VA","Gwynn, VA",471,1 
"23068","51","01","VA","Hallieford, VA (PO Boxes)",257,1 
"23069","51","01","VA","Hanover, VA",1358,0.425 
"23069","51","07","VA","Hanover, VA",1839,0.575 
"23070","51","01","VA","Hardyville, VA",431,1 
"23071","51","01","VA","Hartfield, VA",1563,1 
"23072","51","01","VA","Gloucester Point, VA",11541,1 
"23075","51","03","VA","Highland Springs, VA",9819,1 
"23076","51","01","VA","Hudgins, VA",606,1 
"23079","51","01","VA","Jamaica, VA",437,1 
"23083","51","04","VA","Jetersville, VA",1732,1 
"23084","51","05","VA","Kents Store, VA",1161,0.645 
"23084","51","07","VA","Kents Store, VA",638,0.355 
"23085","51","01","VA","King And Queen Court House, VA",364,1 
"23086","51","01","VA","King William, VA",3247,1 
"23089","51","01","VA","Lanexa, VA",1716,0.349 
"23089","51","07","VA","Lanexa, VA",3198,0.651 
"23091","51","01","VA","Little Plymouth, VA",309,1 
"23092","51","01","VA","Locust Hill, VA",584,1 
"23093","51","05","VA","Louisa, VA",36,0.003 
"23093","51","07","VA","Louisa, VA",12658,0.997 
"23102","51","07","VA","Maidens, VA",2659,1 
"23103","51","07","VA","Manakin Sabot, VA",4634,1 
"23106","51","01","VA","Manquin, VA",976,1 
"23108","51","01","VA","Mascot, VA",161,1 
"23109","51","01","VA","Mathews, VA",1821,1 
"23110","51","01","VA","Mattaponi, VA",794,1 
"23111","51","07","VA","Mechanicsville, VA",36490,1 
"23112","51","04","VA","Midlothian, VA",18982,0.404 
"23112","51","07","VA","Midlothian, VA",28000,0.596 
"23113","51","04","VA","Midlothian, VA",1032,0.043 
"23113","51","07","VA","Midlothian, VA",22816,0.957 
"23114","51","07","VA","Midlothian, VA",17449,1 
"23115","51","01","VA","Millers Tavern, VA (PO Boxes)",146,1 
"23116","51","07","VA","Mechanicsville, VA",27228,1 
"23117","51","07","VA","Mineral, VA",9141,1 
"23119","51","01","VA","Moon, VA",295,1 
"23120","51","04","VA","Moseley, VA",1095,0.183 
"23120","51","07","VA","Moseley, VA",4876,0.817 
"23123","51","05","VA","New Canton, VA",1860,1 
"23124","51","07","VA","New Kent, VA",3185,1 
"23125","51","01","VA","New Point, VA",223,1 
"23126","51","01","VA","Newtown, VA",534,1 
"23128","51","01","VA","North, VA",1045,1 
"23129","51","07","VA","Oilville, VA",374,1 
"23130","51","01","VA","Onemo, VA",268,1 
"23138","51","01","VA","Port Haywood, VA",953,1 
"23139","51","04","VA","Powhatan, VA",24233,0.992 
"23139","51","05","VA","Powhatan, VA",192,0.008 
"23140","51","03","VA","Providence Forge, VA",1771,0.342 
"23140","51","07","VA","Providence Forge, VA",3404,0.658 
"23141","51","07","VA","Quinton, VA",6471,1 
"23146","51","07","VA","Rockville, VA",3093,1 
"23148","51","01","VA","Saint Stephens Church, VA",1827,1 
"23149","51","01","VA","Saluda, VA",3190,1 
"23150","51","03","VA","Sandston, VA",12045,1 
"23153","51","07","VA","Sandy Hook, VA",1334,1 
"23156","51","01","VA","Shacklefords, VA",1555,1 
"23160","51","04","VA","State Farm, VA",2021,0.746 
"23160","51","07","VA","State Farm, VA",687,0.254 
"23161","51","01","VA","Stevensville, VA",173,1 
"23163","51","01","VA","Susan, VA",220,1 
"23168","51","01","VA","Toano, VA",6115,1 
"23169","51","01","VA","Topping, VA",1325,1 
"23173","51","07","VA","Richmond, VA",2820,1 
"23175","51","01","VA","Urbanna, VA",1907,1 
"23176","51","01","VA","Wake, VA",656,1 
"23177","51","01","VA","Walkerton, VA",616,1 
"23180","51","01","VA","Water View, VA",441,1 
"23181","51","01","VA","West Point, VA",4684,0.863 
"23181","51","07","VA","West Point, VA",742,0.137 
"23185","51","01","VA","Williamsburg, VA",46313,0.999 
"23185","51","03","VA","Williamsburg, VA",57,0.001 
"23187","51","01","VA","Williamsburg, VA",267,1 
"23188","51","01","VA","Williamsburg, VA",38733,1 
"23192","51","07","VA","Montpelier, VA",7067,1 
"23219","51","03","VA","Richmond, VA",3781,1 
"23220","51","03","VA","Richmond, VA",35545,1 
"23221","51","03","VA","Richmond, VA",8696,0.636 
"23221","51","07","VA","Richmond, VA",4984,0.364 
"23222","51","03","VA","Richmond, VA",24563,1 
"23223","51","03","VA","Richmond, VA",47677,1 
"23224","51","03","VA","Richmond, VA",30673,0.917 
"23224","51","07","VA","Richmond, VA",2788,0.083 
"23225","51","03","VA","Richmond, VA",25558,0.653 
"23225","51","07","VA","Richmond, VA",13611,0.347 
"23226","51","07","VA","Richmond, VA",15805,1 
"23227","51","03","VA","Richmond, VA",16468,0.674 
"23227","51","07","VA","Richmond, VA",7972,0.326 
"23228","51","07","VA","Laurel, VA",34198,1 
"23229","51","07","VA","Tuckahoe, VA",32283,1 
"23230","51","03","VA","Richmond, VA",734,0.125 
"23230","51","07","VA","Richmond, VA",5118,0.875 
"23231","51","03","VA","Richmond, VA",34685,1 
"23233","51","07","VA","Short Pump, VA",28908,1 
"23234","51","03","VA","Meadowbrook, VA",12223,0.284 
"23234","51","04","VA","Meadowbrook, VA",27594,0.642 
"23234","51","07","VA","Meadowbrook, VA",3172,0.074 
"23235","51","07","VA","Bon Air, VA",30165,1 
"23236","51","04","VA","Richmond, VA",2321,0.09 
"23236","51","07","VA","Richmond, VA",23501,0.91 
"23237","51","04","VA","Richmond, VA",21192,1 
"23238","51","07","VA","Richmond, VA",25134,1 
"23294","51","07","VA","Richmond, VA",17558,1 
"23301","51","02","VA","Accomac, VA",1831,1 
"23302","51","02","VA","Assawoman, VA",155,1 
"23303","51","02","VA","Atlantic, VA",741,1 
"23304","51","04","VA","Battery Park, VA (PO Boxes)",71,1 
"23306","51","02","VA","Belle Haven, VA",1088,1 
"23307","51","02","VA","Birdsnest, VA",769,1 
"23308","51","02","VA","Bloxom, VA",2106,1 
"23310","51","02","VA","Cape Charles, VA",4736,1 
"23313","51","02","VA","Capeville, VA (PO Boxes)",78,1 
"23314","51","04","VA","Carrollton, VA",6991,1 
"23315","51","04","VA","Carrsville, VA",1525,1 
"23316","51","02","VA","Cheriton, VA",342,1 
"23320","51","04","VA","Chesapeake, VA",51797,1 
"23321","51","04","VA","Chesapeake, VA",33653,1 
"23322","51","04","VA","Chesapeake, VA",60473,1 
"23323","51","04","VA","Chesapeake, VA",35906,1 
"23324","51","04","VA","Chesapeake, VA",22851,1 
"23325","51","04","VA","Chesapeake, VA",17592,1 
"23336","51","02","VA","Chincoteague, VA",2941,1 
"23337","51","02","VA","Wattsville, VA",377,1 
"23347","51","02","VA","Eastville, VA (PO Boxes)",671,1 
"23350","51","02","VA","Exmore, VA",3403,1 
"23354","51","02","VA","Franktown, VA",207,1 
"23356","51","02","VA","Captains Cove, VA",1246,1 
"23357","51","02","VA","Chase Crossing, VA",776,1 
"23358","51","02","VA","Hacksneck, VA (PO Boxes)",152,1 
"23359","51","02","VA","Hallwood, VA",776,1 
"23389","51","02","VA","Harborton, VA",137,1 
"23395","51","02","VA","Horntown, VA",645,1 
"23398","51","02","VA","Jamesville, VA (PO Boxes)",153,1 
"23401","51","02","VA","Keller, VA",212,1 
"23405","51","02","VA","Machipongo, VA",973,1 
"23407","51","02","VA","Nelsonia, VA",411,1 
"23408","51","02","VA","Marionville, VA (PO Boxes)",77,1 
"23409","51","02","VA","Mears, VA",84,1 
"23410","51","02","VA","Melfa, VA",2015,1 
"23413","51","02","VA","Nassawadox, VA",840,1 
"23414","51","02","VA","Nelsonia, VA",100,1 
"23415","51","02","VA","New Church, VA",1893,1 
"23416","51","02","VA","Oak Hall, VA",356,1 
"23417","51","02","VA","Onancock, VA",4047,1 
"23418","51","02","VA","Onley, VA",863,1 
"23420","51","02","VA","Painter, VA",2376,1 
"23421","51","02","VA","Parksley, VA",4255,1 
"23422","51","02","VA","Pungoteague, VA",278,1 
"23423","51","02","VA","Quinby, VA",344,1 
"23426","51","02","VA","Sanford, VA",225,1 
"23427","51","02","VA","Saxis, VA",243,1 
"23430","51","04","VA","Smithfield, VA",17281,1 
"23432","51","04","VA","Suffolk, VA",1538,1 
"23433","51","04","VA","Suffolk, VA",1218,1 
"23434","51","04","VA","Suffolk, VA",47670,1 
"23435","51","04","VA","Suffolk, VA",27053,1 
"23436","51","04","VA","Suffolk, VA",942,1 
"23437","51","04","VA","Suffolk, VA",4283,1 
"23438","51","04","VA","Suffolk, VA",1818,1 
"23440","51","02","VA","Tangier, VA",727,1 
"23441","51","02","VA","Tasley, VA",171,1 
"23442","51","02","VA","Temperanceville, VA",1059,1 
"23451","51","02","VA","Virginia Beach, VA",41544,1 
"23452","51","02","VA","Virginia Beach, VA",59321,1 
"23453","51","02","VA","Virginia Beach, VA",35960,1 
"23454","51","02","VA","Virginia Beach, VA",60283,1 
"23455","51","02","VA","Virginia Beach, VA",47938,1 
"23456","51","02","VA","Virginia Beach, VA",51748,1 
"23457","51","02","VA","Virginia Beach, VA",4289,1 
"23459","51","02","VA","Virginia Beach, VA",1091,1 
"23460","51","02","VA","Virginia Beach, VA",1201,1 
"23461","51","02","VA","Virginia Beach, VA",287,1 
"23462","51","02","VA","Virginia Beach, VA",61973,1 
"23464","51","02","VA","Virginia Beach, VA",72359,1 
"23480","51","02","VA","Wachapreague, VA",328,1 
"23486","51","02","VA","Willis Wharf, VA (PO Boxes)",140,1 
"23487","51","04","VA","Windsor, VA",6298,1 
"23488","51","02","VA","Withams, VA (PO Boxes)",201,1 
"23502","51","02","VA","Norfolk, VA",8066,0.39 
"23502","51","03","VA","Norfolk, VA",12612,0.61 
"23503","51","02","VA","Norfolk, VA",29706,0.963 
"23503","51","03","VA","Norfolk, VA",1150,0.037 
"23504","51","03","VA","Norfolk, VA",23483,1 
"23505","51","02","VA","Norfolk, VA",10460,0.367 
"23505","51","03","VA","Norfolk, VA",18043,0.633 
"23507","51","03","VA","Norfolk, VA",25818,1 
"23508","51","02","VA","Norfolk, VA",9951,0.491 
"23508","51","03","VA","Norfolk, VA",10312,0.509 
"23509","51","02","VA","Norfolk, VA",3576,0.279 
"23509","51","03","VA","Norfolk, VA",9241,0.721 
"23510","51","03","VA","Norfolk, VA",7031,1 
"23511","51","02","VA","Norfolk, VA",1941,0.79 
"23511","51","03","VA","Norfolk, VA",516,0.21 
"23513","51","03","VA","Norfolk, VA",29595,1 
"23517","51","03","VA","Norfolk, VA",4484,1 
"23518","51","02","VA","Norfolk, VA",28095,1 
"23523","51","03","VA","Norfolk, VA",7793,1 
"23551","51","03","VA","Cinclantflt, Norfolk, VA",930,1 
"23601","51","02","VA","Newport News, VA",18766,0.747 
"23601","51","03","VA","Newport News, VA",6361,0.253 
"23602","51","02","VA","Newport News, VA",26543,0.669 
"23602","51","03","VA","Newport News, VA",13133,0.331 
"23603","51","01","VA","Newport News, VA",1970,0.505 
"23603","51","03","VA","Newport News, VA",1929,0.495 
"23604","51","03","VA","Newport News, VA",5720,1 
"23605","51","02","VA","Newport News, VA",607,0.044 
"23605","51","03","VA","Newport News, VA",13247,0.956 
"23606","51","02","VA","Newport News, VA",29283,1 
"23607","51","03","VA","Newport News, VA",24519,1 
"23608","51","01","VA","Newport News, VA",5680,0.132 
"23608","51","02","VA","Newport News, VA",13071,0.305 
"23608","51","03","VA","Newport News, VA",24166,0.563 
"23651","51","02","VA","Hampton, VA",696,1 
"23661","51","03","VA","Hampton, VA",14113,1 
"23662","51","01","VA","Poquoson, VA",12150,1 
"23663","51","02","VA","Hampton, VA",1336,0.092 
"23663","51","03","VA","Hampton, VA",13159,0.908 
"23664","51","02","VA","Hampton, VA",9341,0.916 
"23664","51","03","VA","Hampton, VA",853,0.084 
"23665","51","01","VA","Bethel Manor, VA",3777,0.738 
"23665","51","02","VA","Bethel Manor, VA",1343,0.262 
"23666","51","02","VA","Hampton, VA",14161,0.284 
"23666","51","03","VA","Hampton, VA",35664,0.716 
"23669","51","02","VA","Hampton, VA",17692,0.41 
"23669","51","03","VA","Hampton, VA",25456,0.59 
"23690","51","01","VA","Yorktown, VA",3032,1 
"23691","51","01","VA","Yorktown, VA",127,1 
"23692","51","01","VA","Yorktown, VA",18846,1 
"23693","51","01","VA","Yorktown, VA",23286,1 
"23693","51","02","VA","Yorktown, VA",6,0 
"23696","51","01","VA","Seaford, VA",3669,1 
"23701","51","03","VA","Portsmouth, VA",25161,1 
"23702","51","03","VA","Portsmouth, VA",11424,1 
"23703","51","03","VA","Portsmouth, VA",25739,1 
"23704","51","03","VA","Portsmouth, VA",18716,1 
"23707","51","03","VA","Portsmouth, VA",14236,1 
"23708","51","03","VA","Portsmouth, VA",181,1 
"23709","51","03","VA","Portsmouth, VA",78,1 
"23801","51","03","VA","Fort Lee, VA",1153,0.34 
"23801","51","04","VA","Fort Lee, VA",2240,0.66 
"23803","51","03","VA","Petersburg, VA",19271,0.475 
"23803","51","04","VA","Petersburg, VA",21271,0.525 
"23805","51","03","VA","Petersburg, VA",13149,0.675 
"23805","51","04","VA","Petersburg, VA",6341,0.325 
"23806","51","04","VA","Ettrick, VA",2251,1 
"23821","51","05","VA","Alberta, VA",1597,1 
"23824","51","04","VA","Blackstone, VA",6936,0.961 
"23824","51","05","VA","Blackstone, VA",278,0.039 
"23827","51","04","VA","Boykins, VA",1443,1 
"23828","51","04","VA","Branchville, VA",395,1 
"23829","51","04","VA","Capron, VA",2622,1 
"23830","51","04","VA","Carson, VA",1491,1 
"23831","51","04","VA","Chester, VA",33079,1 
"23832","51","04","VA","Chesterfield, VA",29031,0.86 
"23832","51","07","VA","Chesterfield, VA",4708,0.14 
"23833","51","04","VA","Church Road, VA",2297,1 
"23834","51","04","VA","Colonial Heights, VA",25612,1 
"23836","51","04","VA","Chester, VA",11444,1 
"23837","51","04","VA","Courtland, VA",4298,1 
"23838","51","04","VA","Chesterfield, VA",15341,1 
"23839","51","03","VA","Dendron, VA",741,1 
"23840","51","04","VA","Dewitt, VA",1858,1 
"23841","51","04","VA","Dinwiddie, VA",3479,1 
"23842","51","03","VA","Disputanta, VA",2303,0.333 
"23842","51","04","VA","Disputanta, VA",4603,0.667 
"23843","51","05","VA","Dolphin, VA",654,1 
"23844","51","04","VA","Drewryville, VA",788,1 
"23845","51","05","VA","Ebony, VA",356,1 
"23846","51","03","VA","Elberon, VA",933,1 
"23847","51","04","VA","Emporia, VA",16538,0.975 
"23847","51","05","VA","Emporia, VA",424,0.025 
"23850","51","04","VA","Ford, VA",1051,1 
"23851","51","04","VA","Franklin, VA",13715,1 
"23856","51","04","VA","Freeman, VA",39,0.038 
"23856","51","05","VA","Freeman, VA",994,0.962 
"23857","51","05","VA","Gasburg, VA",525,1 
"23860","51","03","VA","Hopewell, VA",3258,0.102 
"23860","51","04","VA","Hopewell, VA",28712,0.898 
"23866","51","04","VA","Ivor, VA",2237,1 
"23867","51","04","VA","Jarratt, VA",2189,1 
"23868","51","05","VA","Lawrenceville, VA",7367,1 
"23872","51","04","VA","Mc Kenney, VA",2376,1 
"23874","51","04","VA","Newsoms, VA",1004,1 
"23875","51","03","VA","Prince George, VA",5712,0.525 
"23875","51","04","VA","Prince George, VA",5166,0.475 
"23876","51","05","VA","Rawlings, VA",456,1 
"23878","51","04","VA","Sedley, VA",1118,1 
"23879","51","04","VA","Skippers, VA",679,1 
"23881","51","03","VA","Spring Grove, VA",2176,1 
"23882","51","04","VA","Stony Creek, VA",2516,1 
"23883","51","03","VA","Surry, VA",2551,1 
"23884","51","04","VA","Sussex, VA",93,1 
"23885","51","04","VA","Sutherland, VA",2807,1 
"23887","51","05","VA","Gasburg, VA",574,1 
"23888","51","03","VA","Wakefield, VA",241,0.106 
"23888","51","04","VA","Wakefield, VA",2034,0.894 
"23889","51","05","VA","Warfield, VA",581,1 
"23890","51","03","VA","Waverly, VA",545,0.128 
"23890","51","04","VA","Waverly, VA",3704,0.872 
"23891","51","04","VA","Sussex Correctional Facility, Waverly, V",2358,1 
"23893","51","05","VA","White Plains, VA",454,1 
"23894","51","04","VA","Wilsons, VA",673,1 
"23897","51","04","VA","Yale, VA",595,1 
"23898","51","04","VA","Zuni, VA",2223,1 
"23899","51","03","VA","Claremont, VA",351,1 
"23901","51","05","VA","Farmville, VA",16399,1 
